1,469.89,40.615,75.524,184.2,19.467
1,31.5,70,41,100,5.9097
1,428.49,4.3636,89.691,218.76,0.6677
2,469.89,40.615,75.524,184.2,19.467
2,31.5,70,41,100,5.9097
2,428.49,4.3636,89.691,218.76,0.6677
3,469.89,40.615,75.524,184.2,19.467
3,31.5,70,41,100,5.9097
3,428.49,4.3636,89.691,218.76,0.6677
4,469.89,40.615,75.524,184.2,25.685
4,31.5,70,41,100,11.201
4,275.5,150,41,100,6.1939
5,275.5,146,41,100,19.457
5,31.5,70,41,100,17.724
5,343,12,82,200,8.1826
5,455.17,40.615,75.524,184.2,3.8716
6,469.89,40.615,75.524,184.2,20.112
6,271.5,146,41,100,6.6166
6,119,36,82,200,2.7549
6,335,44,82,200,2.6716
7,469.89,40.615,75.524,184.2,17.457
7,171.5,134,41,100,5.3388
8,47,36,82,200,29.144
8,469.89,40.615,75.524,184.2,11.608
9,55,36,82,200,12.499
9,31.5,62,41,100,3.147
10,334.84,116.13,52.903,129.03,19.101
10,463,28,82,200,11.143
10,39,36,82,200,9.5646
11,477.24,40.615,75.524,184.2,12.677
11,39,36,82,200,2.4042
12,455,28,82,200,11.629
12,335.5,146,41,100,4.4859
12,367,4,82,200,1.4921
13,463,28,82,200,20.764
13,335,12,82,200,16.796
13,367.12,4.3636,89.691,218.76,3.5965
14,471,28,82,200,20.421
14,177.96,124.36,44.668,108.95,14.462
14,25.578,63.273,44.668,108.95,8.3757
14,335,4,82,200,7.963
15,471,28,82,200,19.397
16,471,28,82,200,21.899
16,335,4,82,200,15.422
16,367.12,-4.3636,89.691,218.76,8.949
17,359,12,82,200,18.94
17,471,28,82,200,10.626
18,489.68,100.65,52.903,129.03,21.278
18,349.59,4.3636,89.691,218.76,19.137
18,47,36,82,200,12.293
18,335.5,146,41,100,6.8939
18,393.42,4.3636,89.691,218.76,1.062
19,351,12,82,200,28.927
19,463,28,82,200,12.219
19,335.5,146,41,100,11.005
19,40.645,54.194,52.903,129.03,8.4535
19,393.42,4.3636,89.691,218.76,1.7733
20,33.973,30.545,89.691,218.76,25.782
20,339.5,146,41,100,17.589
20,463,28,82,200,16.759
20,351,12,82,200,16.732
21,495.5,14,41,100,18.516
21,31,44,82,200,11.205
21,349.59,4.3636,89.691,218.76,7.1979
21,336,121.19,48.643,118.64,2.7698
22,471,28,82,200,11.253
23,351,4,82,200,19.15
23,443.5,114,41,100,6.8389
23,331.5,138,41,100,5.319
24,351,4,82,200,26.188
24,447.5,114,41,100,7.0328
24,479,28,82,200,5.7513
24,127.16,43.944,69.155,168.67,2.8455
25,333.13,4.8,98.115,239.31,18.093
25,463.56,13.091,89.691,218.76,8.0082
25,447.5,114,41,100,3.9824
26,335,4,82,200,14.117
26,139.5,118,41,100,10.464
26,463.56,13.091,89.691,218.76,6.9319
27,340.82,4.3636,89.691,218.76,17.046
27,463.56,13.091,89.691,218.76,12.577
28,335,4,82,200,22.317
28,505.16,100.65,52.903,129.03,17.348
28,443.54,106.91,44.668,108.95,4.4246
29,351,4,82,200,19.709
29,506.67,102.18,48.643,118.64,15.308
30,335,4,82,200,25.006
31,335,4,82,200,18.814
31,503.36,93.176,57.981,141.42,14.063
31,25.205,21.818,89.691,218.76,10.998
31,170.07,116.44,48.643,118.64,6.6737
32,323.58,4.8,98.115,239.31,23.958
32,134.62,52.308,63.077,153.85,16.332
32,509.03,93.176,57.981,141.42,16.044
33,333.13,4.8,98.115,239.31,14.968
33,509.03,93.176,57.981,141.42,12.842
34,351,12,82,200,15.733
34,522.31,76.923,63.077,153.85,11.675
34,330.34,133.09,44.668,108.95,4.2679
35,340.82,4.3636,89.691,218.76,22.998
35,331.5,142,41,100,6.5529
35,522.31,76.923,63.077,153.85,0.93168
36,343,4,82,200,11.332
36,331.5,142,41,100,9.511
36,523.5,94,41,100,9.3821
37,516.15,76.923,63.077,153.85,14.679
37,333.13,4.8,98.115,239.31,5.8008
38,340.82,4.3636,89.691,218.76,16.604
38,514.69,93.176,57.981,141.42,9.9463
38,37.015,14.4,98.115,239.31,8.7361
38,327.5,142,41,100,8.0859
38,548.03,124.36,44.668,108.95,5.4886
39,327.5,142,41,100,12.194
39,37.015,4.8,98.115,239.31,8.8972
39,423.5,2,41,100,8.3717
40,327.5,142,41,100,12.015
40,349.59,-4.3636,89.691,218.76,8.1145
40,25.205,21.818,89.691,218.76,7.5931
40,109.43,25.846,75.524,184.2,3.3622
41,340.82,4.3636,89.691,218.76,18.979
41,331.5,142,41,100,17.515
41,423.5,2,41,100,11.255
41,531.5,94,41,100,5.6465
41,113.68,37.183,69.155,168.67,5.101
41,31,44,82,200,3.7314
42,349.59,4.3636,89.691,218.76,18.56
42,321.78,121.19,48.643,118.64,5.1451
42,535.5,94,41,100,5.0798
42,109.43,25.846,75.524,184.2,3.7356
42,25.205,30.545,89.691,218.76,1.9396
43,323.5,142,41,100,9.3246
43,25.205,30.545,89.691,218.76,7.1502
43,527.5,130,41,100,3.4961
43,356.15,46.154,63.077,153.85,1.0725
44,321.78,125.94,48.643,118.64,20.67
44,131.5,118,41,100,6.2994
44,522.31,83.077,63.077,153.85,3.9497
45,321.78,125.94,48.643,118.64,18.02
45,359.5,106,41,100,15.961
45,23,20,82,200,6.7853
45,113.68,37.183,69.155,168.67,4.8648
46,92.258,90.323,52.903,129.03,12.831
46,326.52,125.94,48.643,118.64,6.9844
46,362.31,46.154,63.077,153.85,5.2865
46,116.15,40,63.077,153.85,4.9052
47,323.58,4.8,98.115,239.31,21.98
47,423.5,2,41,100,3.2862
48,327,4,82,200,17.311
48,92.258,95.484,52.903,129.03,12.239
48,113.68,37.183,69.155,168.67,5.8598
48,326.52,130.69,48.643,118.64,5.2219
49,539.5,134,41,100,2.4452
50,324.52,121.29,52.903,129.03,14.072
50,87.097,95.484,52.903,129.03,7.5942
51,319.23,95.385,63.077,153.85,11.034
51,35.5,154,41,100,5.4589
51,87.097,95.484,52.903,129.03,3.3832
52,92.258,95.484,52.903,129.03,7.3435
52,326.52,121.19,48.643,118.64,3.4687
53,577.78,125.94,48.643,118.64,13.751
53,87.097,95.484,52.903,129.03,12.841
53,15.5,82,41,100,1.6421
54,321.78,125.94,48.643,118.64,15.636
54,335,4,82,200,7.3922
55,94.222,97.426,48.643,118.64,4.714
56,321.78,121.19,48.643,118.64,10.882
56,87.097,95.484,52.903,129.03,8.1325
56,102.07,25.846,75.524,184.2,4.1737
57,321.78,125.94,48.643,118.64,17.198
57,102.07,25.846,75.524,184.2,10.34
57,555.5,102,41,100,5.3179
58,106.95,37.183,69.155,168.67,20.97
58,323.58,4.8,98.115,239.31,10.21
59,102.07,25.846,75.524,184.2,7.0683
59,321.78,125.94,48.643,118.64,3.8033
60,102.07,25.846,75.524,184.2,5.6447
60,321.78,125.94,48.643,118.64,1.3872
61,63.5,130,41,100,18.721
61,102.07,25.846,75.524,184.2,16.747
61,321.78,125.94,48.643,118.64,10.244
62,103.5,94,41,100,19.953
63,563.5,110,41,100,13.211
63,317.04,116.44,48.643,118.64,12.745
63,103.5,94,41,100,9.3017
63,115.5,110,41,100,4.3602
64,115.5,114,41,100,17.283
64,317.04,121.19,48.643,118.64,15.302
64,351,4,82,200,3.9636
65,317.04,116.44,48.643,118.64,22.023
65,115.5,110,41,100,18.728
66,317.04,116.44,48.643,118.64,26.661
66,87.356,25.846,75.524,184.2,12.461
67,317.04,116.44,48.643,118.64,24.328
67,327,4,82,200,12.449
67,236.77,121.29,52.903,129.03,11.3
67,77.808,4.3636,89.691,218.76,10.049
68,317.04,121.19,48.643,118.64,29.973
68,79,12,82,200,13.285
68,327,4,82,200,10.632
69,100.21,23.662,69.155,168.67,8.5836
69,349.47,37.183,69.155,168.67,6.9828
69,314.19,121.29,52.903,129.03,5.8346
69,82.177,76.364,44.668,108.95,5.7198
70,317.04,125.94,48.643,118.64,24.223
70,111.5,114,41,100,1.8677
71,317.04,125.94,48.643,118.64,33.631
71,94.713,18.462,75.524,184.2,12.454
71,327,4,82,200,9.5696
72,317.28,133.09,44.668,108.95,25.37
72,327,4,82,200,16.04
72,94.713,18.462,75.524,184.2,11.144
73,94.713,18.462,75.524,184.2,13.226
73,315.5,142,41,100,8.051
74,317.28,128.73,44.668,108.95,27.83
74,79,12,82,200,8.8306
74,51.5,122,41,100,8.1425
75,79.5,82,41,100,14.837
75,317.04,116.44,48.643,118.64,14.625
75,136.89,78.416,48.643,118.64,8.7623
75,519.5,138,41,100,6.893
76,66.526,23.662,69.155,168.67,14.145
76,315.5,138,41,100,4.7425
76,136.89,78.416,48.643,118.64,3.6928
77,87.097,85.161,52.903,129.03,20.389
77,314.19,116.13,52.903,129.03,16.654
77,106.95,30.423,69.155,168.67,9.9578
78,317.04,121.19,48.643,118.64,30.032
78,63.5,86,41,100,7.8613
78,80,97.426,48.643,118.64,6.7972
78,375,28,82,200,2.5679
